Replicate,CCD Point Type,Experiments,MV,ME,MS,m,CC,C_M,Nel,Q,AR,Ortho,Skew,C_S,It,VM_RMS,?P,k,Îµ,Re,y^+
1,Center Point,32,2.75,2.75,2.75,28.693,5.50E-05,1.933,2.781,7.336,7.135,7.271,9.786,8.367,80,94.554,3.243,1.709,42.091,1.326,12.201
2,Factorial Point,1,1.5,1.5,1.5,22.455,1.00E-04,3.64,8.681,7.683,7.394,7.494,9.949,15.019,33,99.393,2.002,1.182,23.066,1.038,10.314
2,Factorial Point,2,4,1.5,1.5,22.455,1.00E-05,1.855,2.157,7.026,6.962,7.112,9.598,6.095,80,60.674,1.985,0.906,22.806,1.037,9.706
2,Factorial Point,3,1.5,4,1.5,22.455,1.00E-05,3.505,8.607,7.681,7.39,7.487,9.952,34.445,80,55.931,2.07,1.191,21.333,1.038,10.205
2,Factorial Point,4,4,4,1.5,22.455,1.00E-04,1.775,2.04,7.039,6.971,7.117,9.609,4.7,66,84.784,2.003,0.908,22.746,1.037,9.698
2,Factorial Point,5,1.5,1.5,4,22.455,1.00E-05,3.494,8.634,7.682,7.392,7.49,9.95,33.017,80,55.843,1.945,1.111,18.777,1.038,10.203
2,Factorial Point,6,4,1.5,4,22.455,1.00E-04,1.835,2.082,7.024,6.958,7.107,9.601,4.27,58,96.282,1.976,0.896,18.681,1.038,9.712
2,Factorial Point,7,1.5,4,4,22.455,1.00E-04,3.635,8.568,7.681,7.389,7.485,9.954,14.258,33,96.663,1.933,1.148,21.756,1.038,10.412
2,Factorial Point,8,4,4,4,22.455,1.00E-05,1.764,1.965,7.041,6.971,7.115,9.616,5.537,80,82.195,1.955,0.896,18.81,1.038,9.653
2,Factorial Point,9,1.5,1.5,1.5,34.93,1.00E-05,3.708,8.676,7.68,7.391,7.491,9.949,35.794,80,41.811,4.876,2.831,77.949,1.614,15.151
2,Factorial Point,10,4,1.5,1.5,34.93,1.00E-04,1.956,2.166,7.03,6.966,7.116,9.598,3.932,51,98.431,4.711,2.242,82,1.614,14.293
2,Factorial Point,11,1.5,4,1.5,34.93,1.00E-04,3.556,8.607,7.677,7.387,7.483,9.952,15.191,34,98.354,4.84,2.928,84.17,1.614,15.334
2,Factorial Point,12,4,4,1.5,34.93,1.00E-05,1.75,2.039,7.035,6.967,7.113,9.609,5.668,80,33.122,4.662,2.239,78.928,1.614,14.205
2,Factorial Point,13,1.5,1.5,4,34.93,1.00E-04,3.609,8.638,7.681,7.392,7.49,9.95,15.886,34,99.864,4.588,2.742,75.928,1.614,15.36
2,Factorial Point,14,4,1.5,4,34.93,1.00E-05,1.856,2.093,7.029,6.964,7.112,9.601,5.862,80,46.372,4.563,2.188,64.706,1.614,14.261
2,Factorial Point,15,1.5,4,4,34.93,1.00E-05,3.481,8.572,7.68,7.388,7.483,9.954,34.097,80,52.121,4.579,2.66,68.452,1.614,15.153
2,Factorial Point,16,4,4,4,34.93,1.00E-04,1.777,1.963,7.038,6.968,7.112,9.617,3.647,52,94.554,4.618,2.171,64.814,1.614,14.262
2,Axial Point,17,2.125,2.75,2.75,28.693,5.50E-05,2.406,4.144,7.531,7.262,7.385,9.881,13.597,80,69.875,3.251,1.815,42.85,1.326,12.4
2,Axial Point,18,3.375,2.75,2.75,28.693,5.50E-05,1.825,2.247,7.205,7.079,7.219,9.692,6.578,80,87.26,3.255,1.56,39.832,1.326,12.163
2,Axial Point,19,2.75,2.125,2.75,28.693,5.50E-05,1.938,2.774,7.326,7.107,7.261,9.786,8.28,80,77.173,3.185,1.525,38.541,1.326,12.995
2,Axial Point,20,2.75,3.375,2.75,28.693,5.50E-05,1.946,2.777,7.336,7.134,7.271,9.786,8.438,80,96.912,3.255,1.722,41.762,1.326,12.208
2,Axial Point,21,2.75,2.75,2.125,28.693,5.50E-05,1.891,2.775,7.333,7.132,7.269,9.786,8.381,80,90.121,3.257,1.706,42.802,1.326,12.142
2,Axial Point,22,2.75,2.75,3.375,28.693,5.50E-05,2.021,2.778,7.335,7.133,7.27,9.786,8.429,80,91.436,3.242,1.725,41.353,1.326,12.197
2,Axial Point,23,2.75,2.75,2.75,25.574,5.50E-05,1.897,2.776,7.334,7.133,7.27,9.786,8.504,80,94.984,2.598,1.373,30.579,1.182,11.01
2,Axial Point,24,2.75,2.75,2.75,31.811,5.50E-05,1.895,2.78,7.334,7.132,7.27,9.786,8.596,80,88.608,3.971,2.096,55.949,1.47,13.296
2,Axial Point,25,2.75,2.75,2.75,28.693,3.25E-05,1.852,2.772,7.333,7.131,7.268,9.786,8.072,80,87.755,3.262,1.708,41.837,1.326,12.238
2,Axial Point,26,2.75,2.75,2.75,28.693,7.75E-05,1.913,2.772,7.321,7.12,7.258,9.785,8.397,80,85.134,3.259,1.696,41.339,1.326,12.208
2,Center Point,27,2.75,2.75,2.75,28.693,5.50E-05,1.873,2.784,7.339,7.138,7.274,9.786,8.435,80,92.455,3.254,1.718,42.607,1.326,12.209
2,Center Point,28,2.75,2.75,2.75,28.693,5.50E-05,2.132,2.778,7.334,7.133,7.269,9.786,8.353,80,85.059,3.258,1.726,42.663,1.326,12.147
2,Center Point,29,2.75,2.75,2.75,28.693,5.50E-05,1.89,2.773,7.332,7.131,7.268,9.786,8.292,80,91.238,3.249,1.697,41.59,1.326,12.185
2,Center Point,30,2.75,2.75,2.75,28.693,5.50E-05,1.94,2.774,7.335,7.134,7.271,9.786,8.316,80,90.435,3.257,1.695,41.686,1.326,12.205
2,Center Point,31,2.75,2.75,2.75,28.693,5.50E-05,1.912,2.773,7.333,7.131,7.268,9.786,8.499,80,82.839,3.244,1.698,41.81,1.326,12.234
2,Center Point,32,2.75,2.75,2.75,28.693,5.50E-05,1.953,2.774,7.335,7.133,7.27,9.786,8.887,80,91.233,3.261,1.707,42.435,1.326,12.204
3,Factorial Point,1,1.5,1.5,1.5,22.455,1.00E-04,3.724,8.68,7.679,7.39,7.49,9.949,15.518,33,87.885,2.04,1.188,23.682,1.038,10.403
3,Factorial Point,2,4,1.5,1.5,22.455,1.00E-05,1.794,2.159,7.026,6.962,7.112,9.597,6.06,80,62.539,1.989,0.915,22.891,1.037,9.72
3,Factorial Point,3,1.5,4,1.5,22.455,1.00E-05,3.653,8.609,7.681,7.39,7.487,9.952,32.925,80,56.555,2.064,1.184,21.524,1.038,10.167
3,Factorial Point,4,4,4,1.5,22.455,1.00E-04,1.83,2.041,7.038,6.971,7.116,9.61,3.489,45,96.869,2,0.907,23.865,1.037,9.738
3,Factorial Point,5,1.5,1.5,4,22.455,1.00E-05,3.542,8.637,7.68,7.391,7.489,9.95,32.779,80,54.106,1.95,1.119,18.772,1.038,10.223
3,Factorial Point,6,4,1.5,4,22.455,1.00E-04,1.748,2.087,7.032,6.967,7.115,9.602,4.03,51,99.166,1.971,0.892,18.714,1.038,9.708
3,Factorial Point,7,1.5,4,4,22.455,1.00E-04,3.878,8.567,7.681,7.389,7.485,9.954,15.04,33,98.352,1.932,1.155,21.718,1.038,10.387
3,Factorial Point,8,4,4,4,22.455,1.00E-05,1.713,1.962,7.039,6.97,7.113,9.617,5.53,80,70.48,1.953,0.876,18.421,1.038,9.669
3,Factorial Point,9,1.5,1.5,1.5,34.93,1.00E-05,3.839,8.68,7.679,7.391,7.491,9.949,34.217,80,51.002,4.903,2.828,78.379,1.614,15.131
3,Factorial Point,10,4,1.5,1.5,34.93,1.00E-04,1.733,2.155,7.023,6.96,7.11,9.597,4.207,53,96.136,4.709,2.229,82.082,1.614,14.34
